PE_chromosome	PE_start	PE_end	PE_identifier	Cassette_Yan_2015_Class	gene_symbol	alt_gene_list	element_chromosome	element_start	element_end	element_identifier	MIM_number	MIM_phenotypes	SFARI_genetic_category	SFARI_gene_score	SFARI_syndromic	PE_HGVS	element_HGVS
chr11	59657079	59657152	PE_1_of_1_in_NM_152716.3_intron_13_0_chr11_59656601_r	NMD_in	PATL1	PATL1, PAT1B	chr11	59656600	59657529	NM_152716.3_intron_13_0_chr11_59656601_r	614660	NA	NA	NA	NA	NC_000011.10:g.59657080_59657152	NC_000011.10:g.59656601_59657529
chr11	59794586	59794610	PE_1_of_1_in_NM_004177.5_intron_7_0_chr11_59793515_f	NMD_in	STX3	STX3, STX3A, DIAR12, MVID2, RDMVID	chr11	59793514	59795371	NM_004177.5_intron_7_0_chr11_59793515_f	600876	Retinal dystrophy and microvillus inclusion disease, 619446 (3), Autosomal recessive; Diarrhea 12, with microvillus atrophy, 619445 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.59794587_59794610	NC_000011.10:g.59793515_59795371
chr11	60432033	60432169	PE_1_of_1_in_NM_023945.3_intron_1_0_chr11_60430925_f	NMD_in	MS4A5	MS4A5, TETM4, CD20L2	chr11	60430924	60432410	NM_023945.3_intron_1_0_chr11_60430925_f	606499	NA	NA	NA	NA	NC_000011.10:g.60432034_60432169	NC_000011.10:g.60430925_60432410
chr11	60935578	60935699	PE_1_of_1_in_NM_178031.3_intron_9_0_chr11_60935444_f	NMD_in	TMEM132A	TMEM132A, KIAA1583	chr11	60935443	60935863	NM_178031.3_intron_9_0_chr11_60935444_f	617363	NA	NA	NA	NA	NC_000011.10:g.60935579_60935699	NC_000011.10:g.60935444_60935863
chr11	61421191	61421256	PE_1_of_1_in_NM_001142565.3_intron_6_0_chr11_61420574_r	NMD_in	CPSF7	NA	chr11	61420573	61421389	NM_001142565.3_intron_6_0_chr11_61420574_r	NA	NA	NA	NA	NA	NC_000011.10:g.61421192_61421256	NC_000011.10:g.61420574_61421389
chr11	61529361	61529450	PE_1_of_1_in_NM_001365809.2_intron_4_0_chr11_61528186_r	NMD_in	SYT7	SYT7	chr11	61528185	61532988	NM_001365809.2_intron_4_0_chr11_61528186_r	604146	NA	NA	NA	NA	NC_000011.10:g.61529362_61529450	NC_000011.10:g.61528186_61532988
chr11	61730398	61730533	PE_1_of_1_in_NM_006133.3_intron_7_0_chr11_61729009_f	NMD_in	DAGLA	DAGLA, KIAA0659	chr11	61729008	61731316	NM_006133.3_intron_7_0_chr11_61729009_f	614015	NA	Rare Single Gene Mutation, Functional	2	0	NC_000011.10:g.61730399_61730533	NC_000011.10:g.61729009_61731316
chr11	63766746	63766818	PE_1_of_1_in_NM_001144936.2_intron_3_0_chr11_63766305_r	NMD_in	ZFTA	ZFTA, C11orf95	chr11	63766304	63768483	NM_001144936.2_intron_3_0_chr11_63766305_r	615699	NA	NA	NA	NA	NC_000011.10:g.63766747_63766818	NC_000011.10:g.63766305_63768483
chr11	63840970	63841161	PE_1_of_1_in_NM_001039469.3_intron_0_0_chr11_63839561_f	NMD_in	MARK2	MARK2, EMK1	chr11	63839560	63895158	NM_001039469.3_intron_0_0_chr11_63839561_f	600526	NA	NA	NA	NA	NC_000011.10:g.63840971_63841161	NC_000011.10:g.63839561_63895158
chr11	64740367	64740445	PE_1_of_1_in_NM_001098671.2_intron_11_0_chr11_64740164_r	NMD_in	RASGRP2	RASGRP2, CDC25L	chr11	64740163	64740947	NM_001098671.2_intron_11_0_chr11_64740164_r	605577	?Bleeding disorder, platelet-type, 18, 615888 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.64740368_64740445	NC_000011.10:g.64740164_64740947
chr11	64742229	64742376	PE_1_of_1_in_NM_001098671.2_intron_14_0_chr11_64742113_r	NMD_in	RASGRP2	RASGRP2, CDC25L	chr11	64742112	64742793	NM_001098671.2_intron_14_0_chr11_64742113_r	605577	?Bleeding disorder, platelet-type, 18, 615888 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.64742230_64742376	NC_000011.10:g.64742113_64742793
chr11	64926050	64926134	PE_1_of_1_in_NM_006244.4_intron_1_0_chr11_64925934_f	NMD_in	PPP2R5B	PPP2R5B	chr11	64925933	64926711	NM_006244.4_intron_1_0_chr11_64925934_f	601644	NA	NA	NA	NA	NC_000011.10:g.64926051_64926134	NC_000011.10:g.64925934_64926711
chr11	66718442	66718481	PE_1_of_1_in_NM_006946.4_intron_34_0_chr11_66715982_r	NMD_in	SPTBN2	SPTBN2, SCA5, SCAR14	chr11	66715981	66721083	NM_006946.4_intron_34_0_chr11_66715982_r	604985	Spinocerebellar ataxia 5, 600224 (3), Autosomal dominant; Spinocerebellar ataxia, autosomal recessive 14, 615386 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.66718443_66718481	NC_000011.10:g.66715982_66721083
chr11	67372205	67372293	PE_1_of_1_in_NM_013246.3_intron_1_0_chr11_67367627_r	NMD_in	CLCF1	CLCF1, BSF3, CLC, CISS2	chr11	67367626	67373523	NM_013246.3_intron_1_0_chr11_67367627_r	607672	Cold-induced sweating syndrome 2, 610313 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.67372206_67372293	NC_000011.10:g.67367627_67373523
chr11	67432355	67432491	PE_1_of_1_in_NM_003952.3_intron_4_0_chr11_67431516_f	NMD_in	RPS6KB2	RPS6KB2, S6K2	chr11	67431515	67432599	NM_003952.3_intron_4_0_chr11_67431516_f	608939	NA	NA	NA	NA	NC_000011.10:g.67432356_67432491	NC_000011.10:g.67431516_67432599
chr11	68089820	68089879	PE_1_of_1_in_NM_001277.3_intron_9_0_chr11_68081458_r	NMD_in	CHKA	CHKA, CHK	chr11	68081457	68097018	NM_001277.3_intron_9_0_chr11_68081458_r	118491	NA	NA	NA	NA	NC_000011.10:g.68089821_68089879	NC_000011.10:g.68081458_68097018
chr11	70422508	70422591	PE_1_of_1_in_NM_005231.4_intron_10_0_chr11_70421581_f	NMD_in	CTTN	CTTN, EMS1	chr11	70421580	70422939	NM_005231.4_intron_10_0_chr11_70421581_f	164765	NA	NA	NA	NA	NC_000011.10:g.70422509_70422591	NC_000011.10:g.70421581_70422939
chr11	72023944	72024067	PE_1_of_1_in_NM_006185.4_intron_21_0_chr11_72023148_r	NMD_in	NUMA1	NUMA1	chr11	72023147	72024273	NM_006185.4_intron_21_0_chr11_72023148_r	164009	Leukemia, acute promyelocytic, somatic, 612376 (3)	NA	NA	NA	NC_000011.10:g.72023945_72024067	NC_000011.10:g.72023148_72024273
chr11	72359137	72359274	PE_1_of_1_in_NM_001258392.3_intron_11_0_chr11_72359009_r	NMD_in	CLPB	CLPB, SKD3, MGCA7, MEGCANN, SCN9, MGCA7A	chr11	72359008	72380280	NM_001258392.3_intron_11_0_chr11_72359009_r	616254	Neutropenia, severe congenital, 9, autosomal dominant, 619813 (3), Autosomal dominant; 3-methylglutaconic aciduria, type VIIB, autosomal recessive, 616271 (3), Autosomal recessive; 3-methylglutaconic aciduria, type VIIA, autosomal dominant, 619835 (3), Autosomal dominant	NA	NA	NA	NC_000011.10:g.72359138_72359274	NC_000011.10:g.72359009_72380280
chr11	72431615	72431652	PE_1_of_1_in_NM_001258392.3_intron_14_0_chr11_72430364_r	NMD_in	CLPB	CLPB, SKD3, MGCA7, MEGCANN, SCN9, MGCA7A	chr11	72430363	72434071	NM_001258392.3_intron_14_0_chr11_72430364_r	616254	Neutropenia, severe congenital, 9, autosomal dominant, 619813 (3), Autosomal dominant; 3-methylglutaconic aciduria, type VIIB, autosomal recessive, 616271 (3), Autosomal recessive; 3-methylglutaconic aciduria, type VIIA, autosomal dominant, 619835 (3), Autosomal dominant	NA	NA	NA	NC_000011.10:g.72431616_72431652	NC_000011.10:g.72430364_72434071
chr11	72591597	72591692	PE_1_of_2_in_NM_002599.5_intron_24_0_chr11_72591357_r	NMD_in	PDE2A	PDE2A, IDDPADS	chr11	72591356	72596592	NM_002599.5_intron_24_0_chr11_72591357_r	602658	Intellectual developmental disorder with paroxysmal dyskinesia or seizures, 619150 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.72591598_72591692	NC_000011.10:g.72591357_72596592
chr11	72592045	72592141	PE_2_of_2_in_NM_002599.5_intron_24_0_chr11_72591357_r	NMD_in	PDE2A	PDE2A, IDDPADS	chr11	72591356	72596592	NM_002599.5_intron_24_0_chr11_72591357_r	602658	Intellectual developmental disorder with paroxysmal dyskinesia or seizures, 619150 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.72592046_72592141	NC_000011.10:g.72591357_72596592
chr11	72612318	72612371	PE_1_of_2_in_NM_002599.5_intron_28_0_chr11_72608752_r	NMD_in	PDE2A	PDE2A, IDDPADS	chr11	72608751	72642253	NM_002599.5_intron_28_0_chr11_72608752_r	602658	Intellectual developmental disorder with paroxysmal dyskinesia or seizures, 619150 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.72612319_72612371	NC_000011.10:g.72608752_72642253
chr11	72631077	72631138	PE_2_of_2_in_NM_002599.5_intron_28_0_chr11_72608752_r	NMD_in	PDE2A	PDE2A, IDDPADS	chr11	72608751	72642253	NM_002599.5_intron_28_0_chr11_72608752_r	602658	Intellectual developmental disorder with paroxysmal dyskinesia or seizures, 619150 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.72631078_72631138	NC_000011.10:g.72608752_72642253
chr11	72898657	72898708	PE_1_of_1_in_NM_014824.3_intron_9_0_chr11_72889946_r	NMD_in	FCHSD2	FCHSD2, KIAA0769, NWK	chr11	72889945	72902542	NM_014824.3_intron_9_0_chr11_72889946_r	617556	NA	NA	NA	NA	NC_000011.10:g.72898658_72898708	NC_000011.10:g.72889946_72902542
chr11	73434765	73434886	PE_1_of_1_in_NM_015159.3_intron_5_0_chr11_73430771_r	NMD_in	FAM168A	RAM168A, TCRP1, KIAA0280	chr11	73430770	73468404	NM_015159.3_intron_5_0_chr11_73430771_r	616316	NA	NA	NA	NA	NC_000011.10:g.73434766_73434886	NC_000011.10:g.73430771_73468404
chr11	73718862	73718889	PE_1_of_1_in_NM_198896.2_intron_4_0_chr11_73718719_r	NMD_in	RAB6A	RAB6A, RAB6	chr11	73718718	73720845	NM_198896.2_intron_4_0_chr11_73718719_r	179513	NA	NA	NA	NA	NC_000011.10:g.73718863_73718889	NC_000011.10:g.73718719_73720845
chr11	76012926	76013101	PE_1_of_1_in_NM_003369.4_intron_10_0_chr11_76008868_f	NMD_in	UVRAG	UVRAG	chr11	76008867	76016814	NM_003369.4_intron_10_0_chr11_76008868_f	602493	NA	NA	NA	NA	NC_000011.10:g.76012927_76013101	NC_000011.10:g.76008868_76016814
chr11	76125546	76126275	PE_1_of_1_in_NM_003369.4_intron_13_0_chr11_76116016_f	NMD_in	UVRAG	UVRAG	chr11	76116015	76140710	NM_003369.4_intron_13_0_chr11_76116016_f	602493	NA	NA	NA	NA	NC_000011.10:g.76125547_76126275	NC_000011.10:g.76116016_76140710
chr11	76364337	76364431	PE_1_of_1_in_NM_004705.4_intron_2_0_chr11_76361064_r	NMD_in	THAP12	PRKRIR	chr11	76361063	76365851	NM_004705.4_intron_2_0_chr11_76361064_r	607374	NA	NA	NA	NA	NC_000011.10:g.76364338_76364431	NC_000011.10:g.76361064_76365851
chr11	76468851	76468896	PE_1_of_1_in_NM_001300942.2_intron_7_0_chr11_76464081_f	NMD_in	EMSY	EMSY, C11orf30	chr11	76464080	76472563	NM_001300942.2_intron_7_0_chr11_76464081_f	608574	NA	Rare Single Gene Mutation, Functional	2	0	NC_000011.10:g.76468852_76468896	NC_000011.10:g.76464081_76472563
chr11	77011229	77011374	PE_1_of_1_in_NM_018367.7_intron_6_0_chr11_76998822_f	NMD_in	ACER3	ACER3, APHC, PHCA, PLDECO	chr11	76998821	77015015	NM_018367.7_intron_6_0_chr11_76998822_f	617036	?Leukodystrophy, progressive, early childhood-onset, 617762 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.77011230_77011374	NC_000011.10:g.76998822_77015015
chr11	77699780	77699812	PE_1_of_1_in_NM_016578.4_intron_9_0_chr11_77698694_r	NMD_in	RSF1	HBXAP, RSF1	chr11	77698693	77700720	NM_016578.4_intron_9_0_chr11_77698694_r	608522	NA	NA	NA	NA	NC_000011.10:g.77699781_77699812	NC_000011.10:g.77698694_77700720
chr11	78022361	78022450	PE_1_of_1_in_NM_023930.4_intron_0_0_chr11_78017271_r	NMD_in	KCTD14	NA	chr11	78017270	78023159	NM_023930.4_intron_0_0_chr11_78017271_r	NA	NA	NA	NA	NA	NC_000011.10:g.78022362_78022450	NC_000011.10:g.78017271_78023159
chr11	78685358	78685507	PE_1_of_1_in_NM_001098816.3_intron_4_0_chr11_78676388_r	NMD_in	TENM4	TENM4, ODZ4, TNM4, DOC4, KIAA1302, ETM5	chr11	78676387	78688053	NM_001098816.3_intron_4_0_chr11_78676388_r	610084	Essential tremor, hereditary, 5, 616736 (3), Autosomal dominant	NA	NA	NA	NC_000011.10:g.78685359_78685507	NC_000011.10:g.78676388_78688053
chr11	83237083	83237294	PE_1_of_1_in_NM_001300975.2_intron_7_0_chr11_83236510_f	NMD_in	ANKRD42	ANKRD42, SARP	chr11	83236509	83240758	NM_001300975.2_intron_7_0_chr11_83236510_f	619778	NA	NA	NA	NA	NC_000011.10:g.83237084_83237294	NC_000011.10:g.83236510_83240758
chr11	83483252	83483297	PE_1_of_1_in_NM_001142699.3_intron_5_0_chr11_83472778_r	NMD_in	DLG2	DLG2	chr11	83472777	83484128	NM_001142699.3_intron_5_0_chr11_83472778_r	603583	NA	Rare Single Gene Mutation, Functional	2	0	NC_000011.10:g.83483253_83483297	NC_000011.10:g.83472778_83484128
chr11	83486789	83487023	PE_1_of_1_in_NM_001142699.3_intron_6_0_chr11_83484229_r	NMD_in	DLG2	DLG2	chr11	83484228	83532707	NM_001142699.3_intron_6_0_chr11_83484229_r	603583	NA	Rare Single Gene Mutation, Functional	2	0	NC_000011.10:g.83486790_83487023	NC_000011.10:g.83484229_83532707
chr11	86024908	86025071	PE_1_of_1_in_NM_007166.4_intron_16_0_chr11_86022470_r	NMD_in	PICALM	PICALM, CALM, CLTH, LAP	chr11	86022469	86026291	NM_007166.4_intron_16_0_chr11_86022470_r	603025	Leukemia, acute myeloid, somatic, 601626 (3)	NA	NA	NA	NC_000011.10:g.86024909_86025071	NC_000011.10:g.86022470_86026291
chr11	86041141	86041197	PE_1_of_1_in_NM_007166.4_intron_18_0_chr11_86031612_r	NMD_in	PICALM	PICALM, CALM, CLTH, LAP	chr11	86031611	86068650	NM_007166.4_intron_18_0_chr11_86031612_r	603025	Leukemia, acute myeloid, somatic, 601626 (3)	NA	NA	NA	NC_000011.10:g.86041142_86041197	NC_000011.10:g.86031612_86068650
chr11	87239127	87239165	PE_1_of_1_in_NM_022918.4_intron_5_0_chr11_87236685_f	NMD_in	TMEM135	TMEM135, PMP52	chr11	87236684	87295781	NM_022918.4_intron_5_0_chr11_87236685_f	616360	NA	NA	NA	NA	NC_000011.10:g.87239128_87239165	NC_000011.10:g.87236685_87295781
chr11	88328111	88328195	PE_1_of_1_in_NM_001814.6_intron_4_0_chr11_88312555_r	NMD_in	CTSC	CTSC, CPPI, PALS, PLS, HMS, PDON1, JPD	chr11	88312554	88334936	NM_001814.6_intron_4_0_chr11_88312555_r	602365	Periodontitis 1, juvenile, 170650 (3), Autosomal recessive; Haim-Munk syndrome, 245010 (3), Autosomal recessive; Papillon-Lefevre syndrome, 245000 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.88328112_88328195	NC_000011.10:g.88312555_88334936
chr11	90206747	90206809	PE_1_of_1_in_NM_012124.3_intron_4_0_chr11_90206273_r	NMD_in	CHORDC1	CHRODC1, CHP1	chr11	90206272	90210535	NM_012124.3_intron_4_0_chr11_90206273_r	604353	NA	NA	NA	NA	NC_000011.10:g.90206748_90206809	NC_000011.10:g.90206273_90210535
chr11	94172898	94173089	PE_1_of_1_in_NM_015368.4_intron_1_0_chr11_94153631_f	NMD_in	PANX1	PANX1, PX1, OOMD7	chr11	94153630	94178368	NM_015368.4_intron_1_0_chr11_94153631_f	608420	Oocyte maturation defect 7, 618550 (3), Autosomal dominant	NA	NA	NA	NC_000011.10:g.94172899_94173089	NC_000011.10:g.94153631_94178368
chr11	94852440	94852653	PE_1_of_1_in_NM_130847.3_intron_6_0_chr11_94850260_f	NMD_in	AMOTL1	AMOTL1, JEAP	chr11	94850259	94853932	NM_130847.3_intron_6_0_chr11_94850260_f	614657	NA	NA	NA	NA	NC_000011.10:g.94852441_94852653	NC_000011.10:g.94850260_94853932
chr11	95779077	95779134	PE_1_of_1_in_NM_144664.5_intron_2_0_chr11_95778958_r	NMD_in	FAM76B	NA	chr11	95778957	95779606	NM_144664.5_intron_2_0_chr11_95778958_r	NA	NA	NA	NA	NA	NC_000011.10:g.95779078_95779134	NC_000011.10:g.95778958_95779606
chr11	95785547	95785692	PE_1_of_1_in_NM_144664.5_intron_5_0_chr11_95783265_r	NMD_in	FAM76B	NA	chr11	95783264	95786118	NM_144664.5_intron_5_0_chr11_95783265_r	NA	NA	NA	NA	NA	NC_000011.10:g.95785548_95785692	NC_000011.10:g.95783265_95786118
chr11	95914241	95914311	PE_1_of_1_in_NM_016156.6_intron_13_0_chr11_95888262_r	NMD_in	MTMR2	MTMR2, CMT4B1	chr11	95888261	95923874	NM_016156.6_intron_13_0_chr11_95888262_r	603557	Charcot-Marie-Tooth disease, type 4B1, 601382 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.95914242_95914311	NC_000011.10:g.95888262_95923874
chr11	101956863	101956942	PE_1_of_1_in_NM_020802.4_intron_3_0_chr11_101948143_f	NMD_in	CEP126	KIAA1377	chr11	101948142	101958167	NM_020802.4_intron_3_0_chr11_101948143_f	614634	NA	NA	NA	NA	NC_000011.10:g.101956864_101956942	NC_000011.10:g.101948143_101958167
chr11	103952416	103952503	PE_1_of_1_in_NM_025208.5_intron_3_0_chr11_103947725_r	NMD_in	PDGFD	PDGFD, SCDGFB, IEGF	chr11	103947724	103996064	NM_025208.5_intron_3_0_chr11_103947725_r	609673	NA	NA	NA	NA	NC_000011.10:g.103952417_103952503	NC_000011.10:g.103947725_103996064
chr11	105945462	105945500	PE_1_of_1_in_NM_000829.4_intron_13_0_chr11_105933970_f	NMD_in	GRIA4	GRIA4, GLUR4, NEDSGA	chr11	105933969	105971913	NM_000829.4_intron_13_0_chr11_105933970_f	138246	Neurodevelopmental disorder with or without seizures and gait abnormalities, 617864 (3), Autosomal dominant	NA	NA	NA	NC_000011.10:g.105945463_105945500	NC_000011.10:g.105933970_105971913
chr11	113349316	113349419	PE_1_of_1_in_NM_017868.4_intron_12_0_chr11_113344441_f	NMD_in	TTC12	TTC12, TPARM, CILD45	chr11	113344440	113350072	NM_017868.4_intron_12_0_chr11_113344441_f	610732	Ciliary dyskinesia, primary, 45, 618801 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.113349317_113349419	NC_000011.10:g.113344441_113350072
chr11	114444154	114444211	PE_1_of_1_in_NM_015523.4_intron_2_0_chr11_114443934_f	NMD_in	REXO2	REXO2, RFN	chr11	114443933	114444540	NM_015523.4_intron_2_0_chr11_114443934_f	607149	NA	NA	NA	NA	NC_000011.10:g.114444155_114444211	NC_000011.10:g.114443934_114444540
chr11	115193837	115194079	PE_1_of_1_in_NM_001301043.2_intron_2_0_chr11_115190942_r	NMD_in	CADM1	CADM1, IGSF4, TSLC1	chr11	115190941	115198405	NM_001301043.2_intron_2_0_chr11_115190942_r	605686	NA	Rare Single Gene Mutation	2	0	NC_000011.10:g.115193838_115194079	NC_000011.10:g.115190942_115198405
chr11	115399427	115399512	PE_1_of_1_in_NM_001301043.2_intron_10_0_chr11_115240421_r	NMD_in	CADM1	CADM1, IGSF4, TSLC1	chr11	115240420	115504270	NM_001301043.2_intron_10_0_chr11_115240421_r	605686	NA	Rare Single Gene Mutation	2	0	NC_000011.10:g.115399428_115399512	NC_000011.10:g.115240421_115504270
chr11	117207653	117207734	PE_1_of_1_in_NM_004716.4_intron_2_0_chr11_117207161_r	NMD_in	PCSK7	PCSK7, PC8, PC7, LPC	chr11	117207160	117207969	NM_004716.4_intron_2_0_chr11_117207161_r	604872	NA	NA	NA	NA	NC_000011.10:g.117207654_117207734	NC_000011.10:g.117207161_117207969
chr11	118014073	118014201	PE_1_of_1_in_NM_001394165.1_intron_1_0_chr11_118013881_r	NMD_in	SMIM35	NA	chr11	118013880	118014707	NM_001394165.1_intron_1_0_chr11_118013881_r	NA	NA	NA	NA	NA	NC_000011.10:g.118014074_118014201	NC_000011.10:g.118013881_118014707
chr11	118239793	118239913	PE_1_of_1_in_NM_198275.3_intron_3_0_chr11_118237261_r	NMD_in	MPZL3	MPZL3	chr11	118237260	118240210	NM_198275.3_intron_3_0_chr11_118237261_r	611707	NA	NA	NA	NA	NC_000011.10:g.118239794_118239913	NC_000011.10:g.118237261_118240210
chr11	119132242	119132296	PE_1_of_1_in_NM_198971.3_intron_4_0_chr11_119131983_f	NMD_in	HINFP	HINFP, MIZF	chr11	119131982	119132495	NM_198971.3_intron_4_0_chr11_119131983_f	607099	NA	NA	NA	NA	NC_000011.10:g.119132243_119132296	NC_000011.10:g.119131983_119132495
chr11	119316561	119316733	PE_1_of_1_in_NM_006500.3_intron_14_0_chr11_119315264_r	NMD_in	MCAM	MCAM, MUC18, CD146	chr11	119315263	119317034	NM_006500.3_intron_14_0_chr11_119315264_r	155735	NA	NA	NA	NA	NC_000011.10:g.119316562_119316733	NC_000011.10:g.119315264_119317034
chr11	120803903	120804035	PE_1_of_1_in_NM_014619.5_intron_3_0_chr11_120802858_f	NMD_in	GRIK4	GRIK4	chr11	120802857	120815377	NM_014619.5_intron_3_0_chr11_120802858_f	600282	NA	Rare Single Gene Mutation, Functional	2	0	NC_000011.10:g.120803904_120804035	NC_000011.10:g.120802858_120815377
chr11	120969008	120969060	PE_1_of_1_in_NM_014619.5_intron_18_0_chr11_120967324_f	NMD_in	GRIK4	GRIK4	chr11	120967323	120982105	NM_014619.5_intron_18_0_chr11_120967324_f	600282	NA	Rare Single Gene Mutation, Functional	2	0	NC_000011.10:g.120969009_120969060	NC_000011.10:g.120967324_120982105
chr11	123129975	123130052	PE_1_of_1_in_NM_024769.5_intron_5_0_chr11_123097953_r	NMD_in	CLMP	CLMP, ASAM, ACAM, CSBS	chr11	123097952	123194912	NM_024769.5_intron_5_0_chr11_123097953_r	611693	Congenital short bowel syndrome, 615237 (3), Autosomal recessive	NA	NA	NA	NC_000011.10:g.123129976_123130052	NC_000011.10:g.123097953_123194912
chr11	123454744	123454828	PE_1_of_1_in_NM_001387025.1_intron_0_0_chr11_123431167_f	NMD_in	GRAMD1B	NA	chr11	123431166	123480815	NM_001387025.1_intron_0_0_chr11_123431167_f	NA	NA	NA	NA	NA	NC_000011.10:g.123454745_123454828	NC_000011.10:g.123431167_123480815
chr11	128702554	128702968	PE_1_of_1_in_NM_002017.5_intron_0_0_chr11_128694277_f	NMD_in	FLI1	FLI1, BDPLT21	chr11	128694276	128758114	NM_002017.5_intron_0_0_chr11_128694277_f	193067	Bleeding disorder, platelet-type, 21, 617443 (3), Autosomal recessive, Autosomal dominant	NA	NA	NA	NC_000011.10:g.128702555_128702968	NC_000011.10:g.128694277_128758114
chr12	171246	172308	PE_1_of_1_in_NM_001170738.2_intron_12_0_chr12_171162_f	NMD_in	IQSEC3	IQSEC3, KIAA1110	chr12	171161	174598	NM_001170738.2_intron_12_0_chr12_171162_f	612118	NA	NA	NA	NA	NC_000012.12:g.171247_172308	NC_000012.12:g.171162_174598
chr12	1410388	1410452	PE_1_of_1_in_NM_178040.4_intron_16_0_chr12_1408248_f	NMD_in	ERC1	ERC1, RAB6IP2, KIAA1081	chr12	1408247	1444561	NM_178040.4_intron_16_0_chr12_1408248_f	607127	NA	NA	NA	NA	NC_000012.12:g.1410389_1410452	NC_000012.12:g.1408248_1444561
chr12	2934009	2934196	PE_1_of_1_in_NM_003324.5_intron_6_0_chr12_2933531_f	NMD_in	TULP3	TULP3	chr12	2933530	2934446	NM_003324.5_intron_6_0_chr12_2933531_f	604730	NA	NA	NA	NA	NC_000012.12:g.2934010_2934196	NC_000012.12:g.2933531_2934446
chr12	6551397	6551502	PE_1_of_1_in_NM_001193457.2_intron_8_0_chr12_6551002_r	NMD_in	IFFO1	IFFO1	chr12	6551001	6555256	NM_001193457.2_intron_8_0_chr12_6551002_r	610495	NA	NA	NA	NA	NC_000012.12:g.6551398_6551502	NC_000012.12:g.6551002_6555256
chr12	12265665	12265772	PE_1_of_1_in_NM_002336.3_intron_21_0_chr12_12244656_r	NMD_in	LRP6	LRP6, ADCAD2, STHAG7	chr12	12244655	12266680	NM_002336.3_intron_21_0_chr12_12244656_r	603507	{Coronary artery disease, autosomal dominant, 2}, 610947 (3), Autosomal dominant; Tooth agenesis, selective, 7, 616724 (3), Autosomal dominant	NA	NA	NA	NC_000012.12:g.12265666_12265772	NC_000012.12:g.12244656_12266680
chr12	15561916	15562072	PE_1_of_1_in_NM_030667.3_intron_16_0_chr12_15560277_f	NMD_in	PTPRO	PTPRO, GLEPP1, NPHS6	chr12	15560276	15565592	NM_030667.3_intron_16_0_chr12_15560277_f	600579	Nephrotic syndrome, type 6, 614196 (3), Autosomal recessive	NA	NA	NA	NC_000012.12:g.15561917_15562072	NC_000012.12:g.15560277_15565592
chr12	19268529	19268578	PE_1_of_1_in_NM_001256470.2_intron_7_0_chr12_19265851_f	NMD_in	PLEKHA5	PEPP2, KIAA1686	chr12	19265850	19269769	NM_001256470.2_intron_7_0_chr12_19265851_f	607770	NA	NA	NA	NA	NC_000012.12:g.19268530_19268578	NC_000012.12:g.19265851_19269769
chr12	22519115	22519239	PE_1_of_1_in_NM_001286176.2_intron_19_0_chr12_22518138_r	NMD_in	C2CD5	C2CD5, CDP138, KIAA0528	chr12	22518137	22523425	NM_001286176.2_intron_19_0_chr12_22518138_r	618044	NA	NA	NA	NA	NC_000012.12:g.22519116_22519239	NC_000012.12:g.22518138_22523425
chr12	22668598	22668700	PE_1_of_1_in_NM_018638.5_intron_3_0_chr12_22661206_f	NMD_in	ETNK1	ETNK1, EKI1	chr12	22661205	22671271	NM_018638.5_intron_3_0_chr12_22661206_f	609858	NA	NA	NA	NA	NC_000012.12:g.22668599_22668700	NC_000012.12:g.22661206_22671271
chr12	25233118	25233419	PE_1_of_3_in_NM_004985.5_intron_2_0_chr12_25227413_r	NMD_in	KRAS	KRAS, KRAS2, RASK2, NS, CFC2, RALD, OES	chr12	25227412	25245273	NM_004985.5_intron_2_0_chr12_25227413_r	190070	Gastric cancer, somatic, 613659 (3); Oculoectodermal syndrome, somatic, 600268 (3); Breast cancer, somatic, 114480 (3); Noonan syndrome 3, 609942 (3), Autosomal dominant; RAS-associated autoimmune leukoproliferative disorder, 614470 (3), Autosomal dominant; Arteriovenous malformation of the brain, somatic, 108010 (3); Lung cancer, somatic, 211980 (3); Pancreatic carcinoma, somatic, 260350 (3); Leukemia, acute myeloid, somatic, 601626 (3); Schimmelpenning-Feuerstein-Mims syndrome, somatic mosaic, 163200 (3); Cardiofaciocutaneous syndrome 2, 615278 (3), Autosomal dominant; Bladder cancer, somatic, 109800 (3)	NA	NA	NA	NC_000012.12:g.25233119_25233419	NC_000012.12:g.25227413_25245273
